Sample,Conc,RH,Media,Ptime,Dust,Target,Ct
94,0.032,>70%,Swab,Immediate,No,S,34.2729592
95,0.032,>70%,Swab,Immediate,No,N,Undetermined
95,0.032,>70%,Swab,Immediate,No,ORF1ab,Undetermined
95,0.032,>70%,Swab,Immediate,No,ORF1ab,Undetermined
95,0.032,>70%,Swab,Immediate,No,ORF1ab,Undetermined
95,0.032,>70%,Swab,Immediate,No,ORF1ab,Undetermined
95,0.032,>70%,Swab,Immediate,No,ORF1ab,Undetermined
95,0.032,>70%,Swab,Immediate,No,S,Undetermined
95,0.032,>70%,Swab,Immediate,No,N,36.57900605
95,0.032,>70%,Swab,Immediate,No,N,36.15349048
95,0.032,>70%,Swab,Immediate,No,S,35.79514261
95,0.032,>70%,Swab,Immediate,No,S,35.66303594
95,0.032,>70%,Swab,Immediate,No,N,35.65756071
95,0.032,>70%,Swab,Immediate,No,S,35.43085488
95,0.032,>70%,Swab,Immediate,No,N,34.55225865
95,0.032,>70%,Swab,Immediate,No,S,34.29713814
