Sample Name,Target Name,Ct,Concentration,Media
ACM-3-5,N,22.89538383,3,ACM
Cotton-3-3,N,22.95234871,3,Cotton
ACM-3-3,S,22.96229744,3,ACM
Flock-3-4,ORF1ab,22.99987221,3,Flocked Swab
Cotton-3-3,S,23.00235558,3,Cotton
Glass-3-1,ORF1ab,23.01250267,3,Glass Fiber Filter
ACM-3-3,N,23.04374313,3,ACM
ACM-3-5,S,23.07714653,3,ACM
Cotton-3-3,N,23.09407997,3,Cotton
ACM-3-3,S,23.13141251,3,ACM
Cotton-3-3,S,23.14662743,3,Cotton
ACM-3-5,ORF1ab,23.14718819,3,ACM
Flock-3-3,S,23.2369194,3,Flocked Swab
ACM-3-5,ORF1ab,23.28009796,3,ACM
Glass-3-2,ORF1ab,23.30807877,3,Glass Fiber Filter
Glass-3-2,ORF1ab,23.39664268,3,Glass Fiber Filter
