Sample Name,Target Name,Ct,Concentration,Media
Glass-6-3,S,28.69882584,6,Glass Fiber Filter
ACM-6-3,S,28.70083427,6,ACM
Cotton-6-3,N,28.71423721,6,Cotton
Flock-6-3,S,28.72813606,6,Flocked Swab
FTA-6-5,S,28.73472595,6,FTA Card
Cotton-6-2,S,28.73566628,6,Cotton
Cotton-6-5,ORF1ab,28.76376534,6,Cotton
ACM-6-1,N,28.76627731,6,ACM
FTA-6-4,S,28.77192688,6,FTA Card
FTA-6-1,N,28.79379654,6,FTA Card
ACM-6-2,ORF1ab,28.80719566,6,ACM
Glass-6-4,N,28.81611252,6,Glass Fiber Filter
FTA-6-4,ORF1ab,28.81681252,6,FTA Card
ACM-6-2,S,28.85544586,6,ACM
FTA-6-1,ORF1ab,28.90171814,6,FTA Card
Glass-6-2,S,28.94944572,6,Glass Fiber Filter
FTA-6-5,N,28.95980453,6,FTA Card
Glass-6-4,N,29.02051926,6,Glass Fiber Filter
FTA-6-4,N,29.03084183,6,FTA Card
FTA-6-4,S,29.03914261,6,FTA Card
ACM-6-1,N,29.14598846,6,ACM
Cotton-6-1,N,29.16839027,6,Cotton
Glass-6-3,S,29.19913483,6,Glass Fiber Filter
Flock-6-3,ORF1ab,29.21470261,6,Flocked Swab
ACM-6-1,ORF1ab,29.21575356,6,ACM
RV-6,N,29.2521553,6,Viral Supernatant
Cotton-6-2,N,29.28521347,6,Cotton
ACM-6-3,N,29.3007946,6,ACM
ACM-6-1,S,29.30282402,6,ACM
Cotton-6-5,S,29.32123375,6,Cotton
RV-6,N,29.32951164,6,Viral Supernatant
ACM-6-1,ORF1ab,29.33721542,6,ACM
Flock-6-1,N,29.38565445,6,Flocked Swab
Glass-6-2,N,29.38600349,6,Glass Fiber Filter
RV-6,ORF1ab,29.38843155,6,Viral Supernatant
FTA-6-5,S,29.39084244,6,FTA Card
Flock-6-1,ORF1ab,29.39164352,6,Flocked Swab
FTA-6-4,ORF1ab,29.41721153,6,FTA Card
ACM-6-2,S,29.43717766,6,ACM
Glass-6-5,N,29.4564743,6,Glass Fiber Filter
Glass-6-3,N,29.48427773,6,Glass Fiber Filter
RV-6,S,29.49290276,6,Viral Supernatant
ACM-6-1,S,29.49472427,6,ACM
RV-6,S,29.50608253,6,Viral Supernatant
ACM-6-3,N,29.5089016,6,ACM
Cotton-6-2,N,29.52216911,6,Cotton
ACM-6-2,N,29.52891922,6,ACM
FTA-6-1,ORF1ab,29.57061386,6,FTA Card
ACM-6-5,ORF1ab,29.57932663,6,ACM
ACM-6-3,ORF1ab,29.6026516,6,ACM
FTA-6-3,S,29.60767555,6,FTA Card
RV-6,ORF1ab,29.61136436,6,Viral Supernatant
Cotton-6-2,ORF1ab,29.62542725,6,Cotton
Cotton-6-4,S,29.66080666,6,Cotton
Flock-6-5,ORF1ab,29.66413689,6,Flocked Swab
Cotton-6-4,S,29.66447067,6,Cotton
FTA-6-5,N,29.66834068,6,FTA Card
FTA-6-5,ORF1ab,29.6797905,6,FTA Card
Cotton-6-3,ORF1ab,29.69471741,6,Cotton
Cotton-6-1,ORF1ab,29.69857025,6,Cotton
Flock-6-1,S,29.70264053,6,Flocked Swab
Cotton-6-5,ORF1ab,29.71279335,6,Cotton
Glass-6-1,N,29.73323631,6,Glass Fiber Filter
ACM-6-3,ORF1ab,29.77424622,6,ACM
Glass-6-3,N,29.77482224,6,Glass Fiber Filter
Cotton-6-5,N,29.80213737,6,Cotton
ACM-6-2,ORF1ab,29.8197403,6,ACM
Flock-6-3,S,29.86003113,6,Flocked Swab
Cotton-6-3,ORF1ab,29.88092804,6,Cotton
Flock-6-1,S,29.88472748,6,Flocked Swab
Cotton-6-4,N,29.89599228,6,Cotton
FTA-6-5,ORF1ab,29.90567589,6,FTA Card
Flock-6-5,S,29.95759201,6,Flocked Swab
Flock-6-3,N,29.98266792,6,Flocked Swab
Flock-6-5,N,29.98465729,6,Flocked Swab
Glass-6-4,ORF1ab,30.02260971,6,Glass Fiber Filter
FTA-6-3,S,30.12505722,6,FTA Card
Flock-6-2,S,30.17853165,6,Flocked Swab
Glass-6-2,S,30.27542877,6,Glass Fiber Filter
Cotton-6-4,N,30.28033638,6,Cotton
Glass-6-5,ORF1ab,30.35052872,6,Glass Fiber Filter
Glass-6-2,ORF1ab,30.36718178,6,Glass Fiber Filter
Flock-6-5,S,30.39535904,6,Flocked Swab
Cotton-6-4,ORF1ab,30.50271416,6,Cotton
FTA-6-3,N,30.63178444,6,FTA Card
Cotton-6-1,ORF1ab,30.63889885,6,Cotton
Flock-6-5,N,30.65952682,6,Flocked Swab
Flock-6-2,N,30.68353271,6,Flocked Swab
Flock-6-3,ORF1ab,30.70097542,6,Flocked Swab
Cotton-6-2,ORF1ab,30.71130371,6,Cotton
Glass-6-5,ORF1ab,30.80891609,6,Glass Fiber Filter
Cotton-6-4,ORF1ab,30.85307312,6,Cotton
FTA-6-3,N,30.8726635,6,FTA Card
Glass-6-2,N,30.89043045,6,Glass Fiber Filter
Glass-6-3,ORF1ab,31.01124573,6,Glass Fiber Filter
Flock-6-5,ORF1ab,31.08992577,6,Flocked Swab
Flock-6-2,ORF1ab,31.46053314,6,Flocked Swab
FTA-6-3,ORF1ab,31.53913116,6,FTA Card
Glass-6-3,ORF1ab,31.59553146,6,Glass Fiber Filter
Glass-6-4,ORF1ab,31.96384239,6,Glass Fiber Filter
Glass-6-2,ORF1ab,32.29069519,6,Glass Fiber Filter
Glass-6-1,ORF1ab,35.22579193,6,Glass Fiber Filter
Flock-6-4,N,Undetermined,6,Flocked Swab
Flock-6-4,ORF1ab,Undetermined,6,Flocked Swab
Flock-6-4,S,Undetermined,6,Flocked Swab
Glass-6-1,ORF1ab,Undetermined,6,Glass Fiber Filter
